publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,published_command_mps2,controller_output_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
1140000000,1150000000,59.01957499999999,-1.7150000000000638,26.715000000000064,29.730425000000007,88.75,25.0,1.5,1.5,59.036649999999995,-1.7000000000000632,26.700000000000063,1.5
1150000000,1160000000,59.00234999999999,-1.7300000000000644,26.730000000000064,29.997650000000007,89.0,25.0,1.5,1.5,59.01957499999999,-1.7150000000000638,26.715000000000064,1.5
1160000000,1170000000,58.98497499999999,-1.745000000000065,26.745000000000065,30.26502500000001,89.25,25.0,1.5,1.5,59.00234999999999,-1.7300000000000644,26.730000000000064,1.5
1170000000,1180000000,58.96744999999999,-1.7600000000000655,26.760000000000066,30.532550000000008,89.5,25.0,1.5,1.5,58.98497499999999,-1.745000000000065,26.745000000000065,1.5
1180000000,1190000000,58.94977499999999,-1.775000000000066,26.775000000000066,30.800225000000008,89.75,25.0,1.5,1.5,58.96744999999999,-1.7600000000000655,26.760000000000066,1.5
1190000000,1200000000,58.93194999999999,-1.7900000000000666,26.790000000000067,31.068050000000007,90.0,25.0,1.5,1.5,58.94977499999999,-1.775000000000066,26.775000000000066,1.5
1200000000,1210000000,58.91397499999999,-1.8050000000000672,26.805000000000067,31.336025000000006,90.25,25.0,1.5,1.5,58.93194999999999,-1.7900000000000666,26.790000000000067,1.5
1210000000,1220000000,58.895849999999996,-1.8200000000000678,26.820000000000068,31.604150000000008,90.5,25.0,1.5,1.5,58.91397499999999,-1.8050000000000672,26.805000000000067,1.5
1220000000,1230000000,58.87757499999999,-1.8350000000000684,26.83500000000007,31.872425000000007,90.75,25.0,1.5,1.5,58.895849999999996,-1.8200000000000678,26.820000000000068,1.5
1230000000,1240000000,58.85914999999999,-1.850000000000069,26.85000000000007,32.14085000000001,91.0,25.0,1.5,1.5,58.87757499999999,-1.8350000000000684,26.83500000000007,1.5
1240000000,1250000000,58.84057499999999,-1.8650000000000695,26.86500000000007,32.40942500000001,91.25,25.0,1.5,1.5,58.85914999999999,-1.850000000000069,26.85000000000007,1.5
1250000000,1260000000,58.82184999999998,-1.88000000000007,26.88000000000007,32.67815000000002,91.5,25.0,1.5,1.5,58.84057499999999,-1.8650000000000695,26.86500000000007,1.5
1260000000,1270000000,58.80297499999998,-1.8950000000000706,26.89500000000007,32.94702500000002,91.75,25.0,1.5,1.5,58.82184999999998,-1.88000000000007,26.88000000000007,1.5
1270000000,1280000000,58.783949999999976,-1.9100000000000712,26.91000000000007,33.216050000000024,92.0,25.0,1.5,1.5,58.80297499999998,-1.8950000000000706,26.89500000000007,1.5
