publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,published_command_mps2,controller_output_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
2180000000,2190000000,56.54173676085605,-2.7860457923850284,27.78604579238503,58.20826323914395,114.75,25.0,0.1334358216479532,0.1334358216479532,56.597427801151575,-2.7829935702928097,27.78299357029281,0.14614441702739667
2190000000,2200000000,56.51386963114111,-2.787380150601507,27.787380150601507,58.48613036885889,115.0,25.0,0.120948468375214,0.120948468375214,56.56958991155904,-2.7845843482147536,27.784584348214754,0.1334358216479532
2200000000,2210000000,56.485989782211675,-2.788589635285259,27.78858963528526,58.764010217788325,115.25,25.0,0.10867887443544166,0.10867887443544166,56.54173676085605,-2.7860457923850284,27.78604579238503,0.120948468375214
2210000000,2220000000,56.458098451915106,-2.789676424029615,27.789676424029615,59.041901548084894,115.5,25.0,0.09662361111178974,0.09662361111178974,56.51386963114111,-2.787380150601507,27.787380150601507,0.10867887443544166
2220000000,2230000000,56.430196856494256,-2.7906426601407333,27.790642660140733,59.319803143505744,115.75,25.0,0.08477930290701474,0.08477930290701474,56.485989782211675,-2.788589635285259,27.78858963528526,0.09662361111178974
2230000000,2240000000,56.402286190927704,-2.7914904531698035,27.791490453169803,59.597713809072296,116.0,25.0,0.07314262671919991,0.07314262671919991,56.458098451915106,-2.789676424029615,27.789676424029615,0.08477930290701474
2240000000,2250000000,56.37436762926467,-2.792221879436994,27.792221879436994,59.87563237073533,116.25,25.0,0.06171031103022484,0.06171031103022484,56.430196856494256,-2.7906426601407333,27.790642660140733,0.07314262671919991
2250000000,2260000000,56.346442324954744,-2.792838982547295,27.792838982547295,60.153557675045256,116.5,25.0,0.05047913510678459,0.05047913510678459,56.402286190927704,-2.7914904531698035,27.791490453169803,0.06171031103022484
2260000000,2270000000,56.318511411172516,-2.793343773898364,27.793343773898364,60.431488588827484,116.75,25.0,0.039445928213819315,0.039445928213819315,56.37436762926467,-2.792221879436994,27.792221879436994,0.05047913510678459
2270000000,2280000000,56.290576001137126,-2.793738233180502,27.793738233180502,60.709423998862874,117.0,25.0,0.02860756884007687,0.02860756884007687,56.346442324954744,-2.792838982547295,27.792838982547295,0.039445928213819315
2280000000,2290000000,56.26263718842688,-2.7940243088689023,27.794024308868902,60.98736281157312,117.25,25.0,0.01796098393570089,0.01796098393570089,56.318511411172516,-2.793343773898364,27.793343773898364,0.02860756884007687
2290000000,2300000000,56.234696047289,-2.7942039187082592,27.79420391870826,61.265303952711,117.5,25.0,0.007503148161629003,0.007503148161629003,56.290576001137126,-2.793738233180502,27.793738233180502,0.01796098393570089
2300000000,2310000000,56.20675363294451,-2.7942789501898773,27.794278950189877,61.54324636705549,117.75,25.0,-0.0027689168494493543,-0.0027689168494493543,56.26263718842688,-2.7940243088689023,27.794024308868902,0.007503148161629003
2310000000,2320000000,56.178810981888454,-2.794251261021383,27.794251261021383,61.821189018111546,118.0,25.0,-0.012858143220596752,-0.012858143220596752,56.234696047289,-2.7942039187082592,27.79420391870826,-0.0027689168494493543
2320000000,2330000000,56.1508691121854,-2.794122679589176,27.794122679589176,62.0991308878146,118.25,25.0,-0.022767417546959212,-0.022767417546959212,56.20675363294451,-2.7942789501898773,27.794278950189877,-0.012858143220596752
2330000000,2340000000,56.122929023760385,-2.793895005413706,27.793895005413706,62.377070976239615,118.5,25.0,-0.03249958160092703,-0.03249958160092703,56.178810981888454,-2.794251261021383,27.794251261021383,-0.022767417546959212
2340000000,2350000000,56.09499169868533,-2.7935700095976976,27.793570009597698,62.65500830131467,118.75,25.0,-0.042057433026438495,-0.042057433026438495,56.1508691121854,-2.794122679589176,27.794122679589176,-0.03249958160092703
2350000000,2360000000,56.06705810146101,-2.793149435267434,27.793149435267434,62.93294189853899,119.0,25.0,-0.051443726022508685,-0.051443726022508685,56.122929023760385,-2.793895005413706,27.793895005413706,-0.042057433026438495
2360000000,2370000000,56.03912917929464,-2.792634998007209,27.79263499800721,63.21087082070536,119.25,25.0,-0.06066117201616361,-0.06066117201616361,56.09499169868533,-2.7935700095976976,27.793570009597698,-0.051443726022508685
2370000000,2380000000,56.011205862373174,-2.792028386287047,27.792028386287047,63.488794137626826,119.5,25.0,-0.0697124403249707,-0.0697124403249707,56.06705810146101,-2.793149435267434,27.793149435267434,-0.06066117201616361
2380000000,2390000000,55.98328906413232,-2.7913312618837978,27.791331261883798,63.76671093586768,119.75,25.0,-0.07860015880931259,-0.07860015880931259,56.03912917929464,-2.792634998007209,27.79263499800721,-0.0697124403249707
2390000000,2400000000,55.95537968152142,-2.790545260295705,27.790545260295705,64.04462031847858,120.0,25.0,-0.08732691451454588,-0.08732691451454588,56.011205862373174,-2.792028386287047,27.792028386287047,-0.07860015880931259
2400000000,2410000000,55.92747859526419,-2.789671991150559,27.78967199115056,64.32252140473581,120.25,25.0,-0.09589525430323897,-0.09589525430323897,55.98328906413232,-2.7913312618837978,27.791331261883798,-0.08732691451454588
2410000000,2420000000,55.8995866701154,-2.7887130386075256,27.788713038607526,64.6004133298846,120.5,25.0,-0.10430768547759417,-0.10430768547759417,55.95537968152142,-2.790545260295705,27.790545260295705,-0.09589525430323897
2420000000,2430000000,55.8717047551136,-2.7876699617527514,27.78766996175275,64.8782952448864,120.75,25.0,-0.1125666763922486,-0.1125666763922486,55.92747859526419,-2.789671991150559,27.78967199115056,-0.10430768547759417
2430000000,2440000000,55.8438336838299,-2.786544294988829,27.78654429498883,65.1561663161701,121.0,25.0,-0.1206746570575925,-0.1206746570575925,55.8995866701154,-2.7887130386075256,27.788713038607526,-0.1125666763922486
2440000000,2450000000,55.81597427461287,-2.7853375484182514,27.78533754841825,65.43402572538713,121.25,25.0,-0.12863401973373634,-0.12863401973373634,55.8717047551136,-2.7876699617527514,27.78766996175275,-0.1206746570575925
2450000000,2460000000,55.78812733082967,-2.7840512082209123,27.784051208220912,65.71187266917033,121.5,25.0,-0.13644711951526522,-0.13644711951526522,55.8438336838299,-2.786544294988829,27.78654429498883,-0.12863401973373634
2460000000,2470000000,55.76029364110343,-2.7826867370257595,27.78268673702576,65.98970635889657,121.75,25.0,-0.14411627490697887,-0.14411627490697887,55.81597427461287,-2.7853375484182514,27.78533754841825,-0.13644711951526522
