publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,command_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
1890000000,1900000000,57.39143178873639,-2.669082123546346,27.669082123546346,50.135291533611095,107.5,25.0,0.6287505484970981,57.418089027212176,-2.66236557160995,27.66236557160995,0.6500222404085734
1900000000,1910000000,57.364708466388905,-2.6755823459504313,27.67558234595043,50.412078794598024,107.75,25.0,0.6078344629402901,57.39143178873639,-2.669082123546346,27.669082123546346,0.6287505484970981
1910000000,1920000000,57.337921205401976,-2.681869851435401,27.6818698514354,50.68892788483553,108.0,25.0,0.5872684164716224,57.364708466388905,-2.6755823459504313,27.67558234595043,0.6078344629402901
1920000000,1930000000,57.31107211516447,-2.6879481960648057,27.687948196064806,50.965836730217,108.25,25.0,0.5670469281646255,57.337921205401976,-2.681869851435401,27.6818698514354,0.5872684164716224
1930000000,1940000000,57.284163269783,-2.6938208802295236,27.693820880229524,51.242803291365696,108.5,25.0,0.5471646020957754,57.31107211516447,-2.6879481960648057,27.687948196064806,0.5670469281646255
1940000000,1950000000,57.257196708634304,-2.6994913495111703,27.69949134951117,51.51982556309091,108.75,25.0,0.5276161260281218,57.284163269783,-2.6938208802295236,27.693820880229524,0.5471646020957754
1950000000,1960000000,57.23017443690909,-2.704962995532128,27.704962995532128,51.79690157385254,109.0,25.0,0.5083962701152362,57.257196708634304,-2.6994913495111703,27.69949134951117,0.5276161260281218
1960000000,1970000000,57.20309842614746,-2.710239156792408,27.710239156792408,52.07402938523396,109.25,25.0,0.48949988562526014,57.23017443690909,-2.704962995532128,27.704962995532128,0.5083962701152362
1970000000,1980000000,57.17597061476604,-2.7153231194935614,27.71532311949356,52.351207091423184,109.5,25.0,0.470921903684709,57.20309842614746,-2.710239156792408,27.710239156792408,0.48949988562526014
1980000000,1990000000,57.148792908576816,-2.7202181183498126,27.720218118349813,52.62843281870187,109.75,25.0,0.4526573340417195,57.17597061476604,-2.7153231194935614,27.71532311949356,0.470921903684709
1990000000,2000000000,57.12156718129813,-2.72492733738666,27.72492733738666,52.90570472494244,110.0,25.0,0.4347012638484573,57.148792908576816,-2.7202181183498126,27.720218118349813,0.4526573340417195
2000000000,2010000000,57.09429527505756,-2.729453910727077,27.729453910727077,53.183020999112905,110.25,25.0,0.4170488564623578,57.12156718129813,-2.72492733738666,27.72492733738666,0.4347012638484573
2010000000,2020000000,57.066979000887095,-2.7338009233655605,27.73380092336556,53.46037986078938,110.5,25.0,0.3996953502659375,57.09429527505756,-2.729453910727077,27.729453910727077,0.4170488564623578
2020000000,2030000000,57.03962013921062,-2.7379714119301823,27.737971411930182,53.73777955967619,110.75,25.0,0.38263605750489216,57.066979000887095,-2.7338009233655605,27.73380092336556,0.3996953502659375
2030000000,2040000000,57.01222044032381,-2.741968365432843,27.741968365432843,54.015218375133394,111.0,25.0,0.3658663631441508,57.03962013921062,-2.7379714119301823,27.737971411930182,0.38263605750489216
2040000000,2050000000,56.984781624866606,-2.7457947260078903,27.74579472600789,54.29269461571163,111.25,25.0,0.34938172374167786,57.01222044032381,-2.741968365432843,27.741968365432843,0.3658663631441508
