time_s,plant0.ego_position_m,plant0.ego_speed_mps,plant0.lead_position_m,plant0.lead_speed_mps,plant0.gap_m,plant0.relative_speed_mps,plant1.ego_position_m,plant1.ego_speed_mps,plant1.lead_position_m,plant1.lead_speed_mps,plant1.gap_m,plant1.relative_speed_mps
0.0,0.0,25.0,60.0,25.0,60.0,0.0,0.0,25.0,60.0,25.0,60.0,0.0
0.1,2.5075,25.15,62.5,25.0,59.9925,-0.14999999999999858,2.485,24.7,62.5,25.0,60.015,0.3000000000000007
0.2,5.03,25.299999999999997,65.0,25.0,59.97,-0.29999999999999716,4.94,24.4,65.0,25.0,60.06,0.6000000000000014
0.3,7.567500000000001,25.449999999999996,67.5,25.0,59.9325,-0.44999999999999574,7.365000000000001,24.099999999999998,67.5,25.0,60.135,0.9000000000000021
0.4,10.120000000000001,25.599999999999994,70.0,25.0,59.879999999999995,-0.5999999999999943,9.760000000000002,23.799999999999997,70.0,25.0,60.239999999999995,1.2000000000000028
0.5,12.6875,25.749999999999993,72.5,25.0,59.8125,-0.7499999999999929,12.125,23.499999999999996,72.5,25.0,60.375,1.5000000000000036
0.6,15.27,25.89999999999999,75.0,25.0,59.730000000000004,-0.8999999999999915,14.459999999999999,23.199999999999996,75.0,25.0,60.54,1.8000000000000043
0.7,17.8675,26.04999999999999,77.5,25.0,59.6325,-1.04999999999999,16.764999999999997,22.899999999999995,77.5,25.0,60.735,2.100000000000005
0.8,20.48,26.19999999999999,80.0,25.0,59.519999999999996,-1.1999999999999886,19.039999999999996,22.599999999999994,80.0,25.0,60.96000000000001,2.4000000000000057
0.9,23.1075,26.349999999999987,82.5,25.0,59.3925,-1.3499999999999872,21.284999999999993,22.299999999999994,82.5,25.0,61.215,2.7000000000000064
1.0,25.75,26.499999999999986,85.0,25.0,59.25,-1.4999999999999858,23.499999999999993,21.999999999999993,85.0,25.0,61.50000000000001,3.000000000000007
